INS_IDINSTRUMENTO	TEM_IDTEMA	IXP_ORDEN	PRE_TIPOPREGUNTA	PRE_IDPREGUNTA	PRE_PREGUNTA	RES_IDRESPUESTA	RES_RESPUESTA	RES_ACTIVA	ESCRIBIBLE
1	1	1	GE	1161	Dirección Territorial	3806		SI	SI
1	1	2	GE	1	Lugar de la Encuesta	1		SI	SI
1	1	3	GE	2	Método de recolección	2	Vivienda de residencia	SI	SI
1	1	3	GE	2	Método de recolección	3	Entrevista Telefónica	SI	SI
1	1	3	GE	2	Método de recolección	4	Entrevista presencial (en un lugar distinto de la vivienda)	SI	SI
1	1	3	GE	2	Método de recolección	5	Otro, Cuál?	SI	SI
1	1	3	GE	2	Método de recolección	2334	Jornada de Atención	SI	SI
1	1	4	IN	35	De acuerdo con su cultura, pueblo o rasgos físicos, ...Se autoreconoce como: <i><font color="#006600">(Encuestador: No asuma la respuesta por la apariencia física, lengua, u apellidos de las personas. Es necesario leer la pregunta)</font></i>	112	Indígena	SI	SI
1	1	4	IN	35	De acuerdo con su cultura, pueblo o rasgos físicos, ...Se autoreconoce como: <i><font color="#006600">(Encuestador: No asuma la respuesta por la apariencia física, lengua, u apellidos de las personas. Es necesario leer la pregunta)</font></i>	113	Gitano(a), Rrom	SI	SI
1	1	4	IN	35	De acuerdo con su cultura, pueblo o rasgos físicos, ...Se autoreconoce como: <i><font color="#006600">(Encuestador: No asuma la respuesta por la apariencia física, lengua, u apellidos de las personas. Es necesario leer la pregunta)</font></i>	114	Raizal del Archipiélago de San Andrés, Providencia y Santa Catalina	SI	SI
1	1	4	IN	35	De acuerdo con su cultura, pueblo o rasgos físicos, ...Se autoreconoce como: <i><font color="#006600">(Encuestador: No asuma la respuesta por la apariencia física, lengua, u apellidos de las personas. Es necesario leer la pregunta)</font></i>	115	Palenquero (a)	SI	SI
1	1	4	IN	35	De acuerdo con su cultura, pueblo o rasgos físicos, ...Se autoreconoce como: <i><font color="#006600">(Encuestador: No asuma la respuesta por la apariencia física, lengua, u apellidos de las personas. Es necesario leer la pregunta)</font></i>	116	Negro(a), afrocolombiano(a) o afrodescendiente	SI	SI
1	1	4	IN	35	De acuerdo con su cultura, pueblo o rasgos físicos, ...Se autoreconoce como: <i><font color="#006600">(Encuestador: No asuma la respuesta por la apariencia física, lengua, u apellidos de las personas. Es necesario leer la pregunta)</font></i>	117	Ninguna	SI	SI
1	1	5	GE	3	Lugar de Residencia	6		SI	SI
1	1	6	GE	5	Zona de residencia	8	Cabecera municipal (donde está la alcaldía)	SI	SI
1	1	6	GE	5	Zona de residencia	9	Centro poblado, corregimiento, inspección de policía, caserío	SI	SI
1	1	6	GE	5	Zona de residencia	10	Parte rural disperso (vereda, campo)	SI	SI
1	1	7	GE	4	Barrio, centro poblado o vereda	7		SI	SI
1	1	8	GE	882	Ingrese nombre de la vereda:	2708		SI	SI
1	1	9	GE	6	Dirección de la vivienda o nombre de la finca/predio<i><font color="#006600"> (Si no conoce la dirección registro 98 )</font></i>	11		SI	SI
1	1	10	GE	7	Teléfono fijo  con indicativo <i><font color="#006600"> (XX-XXXXXXX)</font></i> Ejemplo Bogotá <i><font color="#006600"> (91-2345678) si no conoce el número de teléfono digitar 99-9999999</font></i>	12		SI	SI
1	1	11	IN	8	Teléfono celular	13		SI	SI
1	1	12	GE	788	Otro teléfono de contacto	2339		SI	SI
1	1	13	GE	389	Correo Electrónico	1349		SI	SI
1	1	14	GE	789	Lugar de correspondencia es el mismo de residencia.	2340	Sí	SI	SI
1	1	14	GE	789	Lugar de correspondencia es el mismo de residencia.	2341	No	SI	SI
1	1	15	GE	1163	Departamento y municipio de Correspondencia	3808		SI	SI
1	1	16	GE	1164	Zona de correspondencia	3809	Cabecera municipal (donde está la alcaldía)	SI	SI
1	1	16	GE	1164	Zona de correspondencia	3810	Centro poblado, corregimiento, inspección de policía, caserío	SI	SI
1	1	16	GE	1164	Zona de correspondencia	3811	Parte rural disperso (vereda, campo)	SI	SI
1	1	17	GE	1165	Barrio, centro poblado o vereda	3812		SI	SI
1	1	18	GE	1166	Ingrese nombre de la vereda:	3813		SI	SI
1	1	19	GE	790	Dirección de correspondencia	2342		SI	SI
1	1	20	GE	10	Supervisor de la encuesta	15		SI	SI
1	1	21	GE	249	Observaciones a este capitulo	940		SI	SI
1	2	1	IN	13	Nombre(s) y apellido(s) (verifique información)	19	Primer Nombre	SI	SI
1	2	1	IN	13	Nombre(s) y apellido(s) (verifique información)	20	Segundo Nombre	SI	SI
1	2	1	IN	13	Nombre(s) y apellido(s) (verifique información)	21	Primer Apellido	SI	SI
1	2	1	IN	13	Nombre(s) y apellido(s) (verifique información)	22	Segundo Apellido	SI	SI
1	2	2	IN	15	¿...está presente en esta entrevista?	24	Si	SI	SI
1	2	2	IN	15	¿...está presente en esta entrevista?	25	No	SI	SI
1	2	3	IN	27	¿Cuál es la fecha de nacimiento de...? <i><i><font color="#006600">(Si no conoce la fecha exacta de nacimiento, diligencie la más aproximada posible)</font></i></i>	78		SI	SI
1	2	4	IN	14	¿Cuántos años cumplidos tiene ...?	23		SI	SI
1	2	5	IN	1177	GRUPO ETAREO	3846	0 - 5 AÑOS: PRIMERA INFANCIA	SI	SI
1	2	5	IN	1177	GRUPO ETAREO	3847	6 - 11 AÑOS: NIÑEZ	SI	SI
1	2	5	IN	1177	GRUPO ETAREO	3848	12 - 17 AÑOS: ADOLESCENCIA	SI	SI
1	2	5	IN	1177	GRUPO ETAREO	3849	18 - 28 AÑOS: JÓVENES	SI	SI
1	2	5	IN	1177	GRUPO ETAREO	3850	29 - 59 AÑOS: ADULTO	SI	SI
1	2	5	IN	1177	GRUPO ETAREO	3851	60  AÑOS EN ADELANTE: PERSONA MAYOR	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	93	Cédula de ciudadanía / Contraseña	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	94	Cédula de extranjería	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	95	Tarjeta de identidad	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	96	Registro civil/NUIP	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	3799	Permiso especial de permanencia	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	3800	Permiso temporal de permanencia	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	3801	Pasaporte	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	3802	Adulto sin identificar	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	3803	Menor sin identificar	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	3804	Recién nacido	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	3805	Certificado de pertenencia étnica	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	3852	Cédula de ciudadanía / Contraseña	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	3853	Cédula de ciudadanía / Contraseña	SI	SI
1	2	6	IN	30	¿Qué tipo de documento de identificación tiene...? <i><font color="#006600">(Solicite mostrar el documento de identificación)</font></i>	3854	Cédula de ciudadanía / Contraseña	SI	SI
1	2	7	IN	32	¿...cuenta con el documento de identificación?<i><font color="#006600">(Solicite mostrar el documento)</font></i>	102	Si	SI	SI
1	2	7	IN	32	¿...cuenta con el documento de identificación?<i><font color="#006600">(Solicite mostrar el documento)</font></i>	103	No	SI	SI
1	2	7	IN	32	¿...cuenta con el documento de identificación?<i><font color="#006600">(Solicite mostrar el documento)</font></i>	104	No sabe/no informa	SI	NO
1	2	8	IN	31	Número Documento de identificación <i><font color="#006600"> (Si no conoce el número, diligencie 99) (verifique información)</font></i>	101		SI	SI
1	2	9	IN	1169	Novedades en el RUV	3819	Actualización de Nombres y/o Apellidos	SI	SI
1	2	9	IN	1169	Novedades en el RUV	3820	Actualización de Documento de Identidad	SI	SI
1	2	9	IN	1169	Novedades en el RUV	3821	Actualización Fecha de Nacimiento	SI	SI
1	2	9	IN	1169	Novedades en el RUV	3822	Ninguna	SI	SI
1	2	10	IN	24	Sexo: <i><font color="#006600"> (No asumir el sexo a partir del nombre, es necesario preguntar)</font></i>	68	Hombre	SI	SI
1	2	10	IN	24	Sexo: <i><font color="#006600"> (No asumir el sexo a partir del nombre, es necesario preguntar)</font></i>	69	Mujer	SI	SI
1	2	10	IN	24	Sexo: <i><font color="#006600"> (No asumir el sexo a partir del nombre, es necesario preguntar)</font></i>	968	Intersexual	SI	SI
1	2	10	IN	24	Sexo: <i><font color="#006600"> (No asumir el sexo a partir del nombre, es necesario preguntar)</font></i>	3814	Indeterminado	SI	SI
1	2	11	IN	792	¿Cuál es su orientación sexual?	2351	Heterosexual	SI	SI
1	2	11	IN	792	¿Cuál es su orientación sexual?	2352	Homosexual	SI	SI
1	2	11	IN	792	¿Cuál es su orientación sexual?	2353	Bisexual	SI	SI
1	2	11	IN	792	¿Cuál es su orientación sexual?	2354	Ninguno	SI	SI
1	2	11	IN	792	¿Cuál es su orientación sexual?	2355	No sabe, no responde	SI	SI
1	2	11	IN	792	¿Cuál es su orientación sexual?	3756	Asexual	SI	SI
1	2	12	IN	274	¿Cuál es su identidad de género?	974	Femenino	SI	SI
1	2	12	IN	274	¿Cuál es su identidad de género?	975	Masculino	SI	SI
1	2	12	IN	274	¿Cuál es su identidad de género?	978	No sabe / No responde	SI	SI
1	2	12	IN	274	¿Cuál es su identidad de género?	1358	Transgénero	SI	SI
1	2	13	IN	33	¿...tiene libreta militar?  <i> <strong> <font color="#2E64FE">Ley 48 de 1993 </font></strong> </i><i><font color="#006600">  Si tiene libreta provisional o está vencida, marque  "si"</font></i>	105	Si	SI	SI
1	2	13	IN	33	¿...tiene libreta militar?  <i> <strong> <font color="#2E64FE">Ley 48 de 1993 </font></strong> </i><i><font color="#006600">  Si tiene libreta provisional o está vencida, marque  "si"</font></i>	106	No	SI	SI
1	2	13	IN	33	¿...tiene libreta militar?  <i> <strong> <font color="#2E64FE">Ley 48 de 1993 </font></strong> </i><i><font color="#006600">  Si tiene libreta provisional o está vencida, marque  "si"</font></i>	107	No sabe / No responde	SI	SI
1	2	13	IN	33	¿...tiene libreta militar?  <i> <strong> <font color="#2E64FE">Ley 48 de 1993 </font></strong> </i><i><font color="#006600">  Si tiene libreta provisional o está vencida, marque  "si"</font></i>	108	En trámite	SI	NO
1	2	14	IN	1167	¿Cuenta con libreta militar en físico?	3815	Si	SI	SI
1	2	14	IN	1167	¿Cuenta con libreta militar en físico?	3816	No	SI	SI
1	2	15	IN	793	¿Pertenece o ha pertenecido a la Fuerza Pública?	2356	Sí	SI	SI
1	2	15	IN	793	¿Pertenece o ha pertenecido a la Fuerza Pública?	2357	No	SI	SI
1	2	16	IN	88	¿Presenta alguna discapacidad?	315	Si	SI	SI
1	2	16	IN	88	¿Presenta alguna discapacidad?	316	No	SI	SI
1	2	17	IN	89	¿Qué tipo de discapacidad presenta?	317	Física	SI	SI
1	2	17	IN	89	¿Qué tipo de discapacidad presenta?	319	Intelectual	SI	SI
1	2	17	IN	89	¿Qué tipo de discapacidad presenta?	320	Mental	SI	SI
1	2	17	IN	89	¿Qué tipo de discapacidad presenta?	2807	Visual	SI	SI
1	2	17	IN	89	¿Qué tipo de discapacidad presenta?	2808	Auditiva	SI	SI
1	2	17	IN	89	¿Qué tipo de discapacidad presenta?	2809	Sordo Ceguera	SI	SI
1	2	18	IN	400	¿… cuál es el origen de su discapacidad?	1396	Porque nació así	SI	NO
1	2	18	IN	400	¿… cuál es el origen de su discapacidad?	1397	Enfermedad congénita	SI	SI
1	2	18	IN	400	¿… cuál es el origen de su discapacidad?	1398	A causa de un accidente	SI	SI
1	2	18	IN	400	¿… cuál es el origen de su discapacidad?	1399	Porque ya está muy mayor	SI	SI
1	2	18	IN	400	¿… cuál es el origen de su discapacidad?	1400	Porque fue víctima del conflicto armado (minas, combates, otros)	SI	SI
1	2	18	IN	400	¿… cuál es el origen de su discapacidad?	1401	Porque fue víctima de otros hechos (delincuencia, por ejemplo)	SI	SI
1	2	18	IN	400	¿… cuál es el origen de su discapacidad?	1402	No sabe/No responde	SI	SI
1	2	19	IN	794	¿Presenta diagnóstico de enfermedades ruinosas, catastróficas y de alto costo?	2358	SÍ	SI	SI
1	2	19	IN	794	¿Presenta diagnóstico de enfermedades ruinosas, catastróficas y de alto costo?	2359	No	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3865	TRANSPLANTE RENAL	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3866	DIÁLISIS PERITONEAL Y HEMODIÁLISIS	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3867	MANEJO QUIRÚRGICO PARA ENFERMEDADES DEL SISTEMA NERVIOSO CENTRAL	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3868	MANEJO QUIRÚRGICO PARA ENFERMEDADES DEL CORAZÓN	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3869	REEMPLAZOS ARTICULARES	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3870	MANEJO MÉDICO QUIRÚRGICO DEL PACIENTE GRAN QUEMADO	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3871	MANEJO DEL TRAUMA MAYOR	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3872	DIAGNÓSTICO Y MANEJO DEL PACIENTE INFECTADO POR VIH/SIDA	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3873	QUIMIOTERAPIA Y RADIOTERAPIA PARA EL CANCER	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3874	MANEJO DE PACIENTES EN UNIDAD DE CUIDADOS INTENSIVOS	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3875	MANEJO QUIRÚRGICO DE ENFERMEDADES CONGÉNITAS	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3876	TRASPLANTE RENAL, CORAZÓN, HÍGADO, MÉDULA ÓSEA Y CÓRNEA	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3877	CORRECCIÓN QUIRÚRGICA DE LA HERNIA DE NÚCLEO PULPOSO	SI	SI
1	2	20	IN	865	¿Cuál enfermedad?	3878	OTRA (EPOC, ANEMIA FALCIFORME, ETC)	SI	SI
1	2	21	IN	26	¿Se encuentra alguna de las mujeres del hogar en estado de embarazo?	76	Si, ¿Cuantás semanas?	SI	SI
1	2	21	IN	26	¿Se encuentra alguna de las mujeres del hogar en estado de embarazo?	77	No	SI	SI
1	2	22	IN	393	¿En la actualidad es madre lactante?	1356	No	SI	SI
1	2	22	IN	393	¿En la actualidad es madre lactante?	1357	Sí	SI	SI
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	79	Jefe(a)	SI	SI
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	80	Cónyuge o Compañera(o) (Personas mayores de 14 años)	SI	SI
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	81	Hijo(a) - Hijastro(a)	SI	SI
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	83	Nieto(a)	SI	NO
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	84	Padre o madre - Padrastro o madrastra	SI	SI
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	906	Hermano(a) - Hermanastro(a)	SI	SI
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	907	Yerno o nuera	SI	NO
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	908	Abuelo(a)	SI	NO
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	909	Suegro(a)	SI	NO
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	910	Tío(a)	SI	NO
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	911	Sobrino(a)	SI	NO
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	912	Otro pariente del jefe	SI	SI
1	2	23	IN	28	El parentesco … frente al jefe del hogar es:  <i><font color="#006600"> (No acepte como jefe de hogar a persona menor a 14 años)</font></i>	916	Otros no parientes	SI	NO
1	2	24	IN	1435	El parentesco … frente a la persona responsable del hogar es: 	4499	RESPONSABLE DEL HOGAR	SI	SI
1	2	24	IN	1435	El parentesco … frente a la persona responsable del hogar es: 	4500	CÓNYUGE O COMPAÑERA(O)	SI	SI
1	2	24	IN	1435	El parentesco … frente a la persona responsable del hogar es: 	4501	HIJO(A) - HIJASTRO(A)	SI	SI
1	2	24	IN	1435	El parentesco … frente a la persona responsable del hogar es: 	4502	PADRE O MADRE - PADRASTRO O MADRASTRA	SI	SI
1	2	24	IN	1435	El parentesco … frente a la persona responsable del hogar es: 	4503	HERMANO(A) - HERMANASTRO(A)	SI	SI
1	2	24	IN	1435	El parentesco … frente a la persona responsable del hogar es: 	4504	OTRO PARIENTE DEL RESPONSABLE DEL HOGAR	SI	SI
1	2	25	IN	289	Siente ... que vive en un entorno cultural acorde con sus usos y costumbres?	1040	Si	SI	SI
1	2	25	IN	289	Siente ... que vive en un entorno cultural acorde con sus usos y costumbres?	1041	No	SI	SI
1	2	26	IN	867	¿Se encuentra habitando algún territorio colectivo?	2632	Sí	SI	SI
1	2	26	IN	867	¿Se encuentra habitando algún territorio colectivo?	2633	No	SI	SI
1	2	27	IN	866	¿En que tipo de territorio se encuentra?	2628	Resguardo Indígena	SI	SI
1	2	27	IN	866	¿En que tipo de territorio se encuentra?	2629	Terrritorio Colectivo de Comunidades Negras	SI	SI
1	2	27	IN	866	¿En que tipo de territorio se encuentra?	2630	Territorio Ancestralmente Habitado	SI	SI
1	2	27	IN	866	¿En que tipo de territorio se encuentra?	2631	Otro	SI	SI
1	2	27	IN	866	¿En que tipo de territorio se encuentra?	3798	Zonas de reserva campesina	SI	SI
1	2	28	IN	290	¿... A qué pueblo indigena pertenece?<i><font color="#006600"> Ingrese las 3 primeras letras del pueblo indigena</font></i>	1042		SI	SI
1	2	29	IN	291	¿… A qué comunidad indígena pertenece?	1043		SI	SI
1	2	30	IN	868	¿… A qué cabildo indígena pertenece?	2634		SI	SI
1	2	31	IN	1182	¿PERTENECE A UN CONSEJO COMUNITARIO?	3879	Sí	SI	SI
1	2	31	IN	1182	¿PERTENECE A UN CONSEJO COMUNITARIO?	3880	No	SI	SI
1	2	32	IN	795	¿… A qué consejo comunitario pertenece?	2360		SI	SI
1	2	33	IN	372	¿… A qué <em>Vitsa</em> pertenece?	1292	Bolochoc	SI	SI
1	2	33	IN	372	¿… A qué <em>Vitsa</em> pertenece?	1293	Bimbay	SI	SI
1	2	33	IN	372	¿… A qué <em>Vitsa</em> pertenece?	1294	Mijhaís	SI	SI
1	2	33	IN	372	¿… A qué <em>Vitsa</em> pertenece?	1295	Ghoso	SI	SI
1	2	33	IN	372	¿… A qué <em>Vitsa</em> pertenece?	1296	Churon	SI	SI
1	2	33	IN	372	¿… A qué <em>Vitsa</em> pertenece?	1297	Rruso	SI	SI
1	2	33	IN	372	¿… A qué <em>Vitsa</em> pertenece?	1298	Eskelleichi	SI	SI
1	2	33	IN	372	¿… A qué <em>Vitsa</em> pertenece?	1299	Otro ¿Cuál?	SI	SI
1	2	34	IN	373	¿… A qué Kumpania pertenece?	1300	Sabana Larga (Atlántico)	SI	SI
1	2	34	IN	373	¿… A qué Kumpania pertenece?	1301	Sampués (Sucre)	SI	SI
1	2	34	IN	373	¿… A qué Kumpania pertenece?	1302	Sahagún (Córdoba)	SI	SI
1	2	34	IN	373	¿… A qué Kumpania pertenece?	1303	San Pelayo (Córdoba)	SI	SI
1	2	34	IN	373	¿… A qué Kumpania pertenece?	1304	Cúcuta (Norte de Santander)	SI	SI
1	2	34	IN	373	¿… A qué Kumpania pertenece?	1305	Girón (Santander)	SI	SI
1	2	34	IN	373	¿… A qué Kumpania pertenece?	1306	Envigado (Antioquia)	SI	SI
1	2	34	IN	373	¿… A qué Kumpania pertenece?	1307	Ataco (Tolima)	SI	SI
1	2	34	IN	373	¿… A qué Kumpania pertenece?	1308	Bogotá Unión Romaní	SI	SI
1	2	34	IN	373	¿… A qué Kumpania pertenece?	1309	Pasto (Nariño)	SI	SI
1	2	34	IN	373	¿… A qué Kumpania pertenece?	1310	Otra ¿Cuál?	SI	SI
1	2	34	IN	373	¿… A qué Kumpania pertenece?	1375	Bogotá ProRrom	SI	SI
1	2	35	IN	294	En el actual sitio de residencia, reconoce … alguna autoridad, líder o alguien que lo represente?	1050	Sí	SI	SI
1	2	35	IN	294	En el actual sitio de residencia, reconoce … alguna autoridad, líder o alguien que lo represente?	1051	No	SI	SI
1	2	36	IN	296	Adicional, reconoce … la autoridad del Resguardo, comunidad, pueblo o territorio colectivo del que proviene?	1053	Sí ¿Cuál?	SI	SI
1	2	36	IN	296	Adicional, reconoce … la autoridad del Resguardo, comunidad, pueblo o territorio colectivo del que proviene?	1054	No	SI	SI
1	2	37	IN	292	¿ Su comunidad o pueblo tiene un idioma propio ?	1044	Si	SI	SI
1	2	37	IN	292	¿ Su comunidad o pueblo tiene un idioma propio ?	1045	No	SI	SI
1	2	38	IN	273	En cuanto a su propio idioma usted:	969	La habla y la entiende bien	SI	SI
1	2	38	IN	273	En cuanto a su propio idioma usted:	970	La entiende y habla poco	SI	SI
1	2	38	IN	273	En cuanto a su propio idioma usted:	971	La entiende pero no la habla	SI	SI
1	2	38	IN	273	En cuanto a su propio idioma usted:	972	No lo entiende ni lo habla	SI	SI
1	2	38	IN	273	En cuanto a su propio idioma usted:	973	En su comunidad sólo se habla español	SI	SI
1	2	39	IN	293	En cuanto al idioma español usted:	1046	Lo entiende y lo habla bien	SI	SI
1	2	39	IN	293	En cuanto al idioma español usted:	1047	Lo entiende y habla poco	SI	SI
1	2	39	IN	293	En cuanto al idioma español usted:	1048	Lo entiende pero no lo habla	SI	SI
1	2	39	IN	293	En cuanto al idioma español usted:	1049	No lo entiende ni lo habla	SI	SI
1	2	40	IN	869	¿Pertenece a alguna organización?	2635	Si	SI	SI
1	2	40	IN	869	¿Pertenece a alguna organización?	2636	No	SI	SI
1	2	41	IN	1158	¿Qué tipo de organización?	3760	Étnica	SI	SI
1	2	41	IN	1158	¿Qué tipo de organización?	3761	De Víctimas	SI	SI
1	2	41	IN	1158	¿Qué tipo de organización?	3762	Campesina	SI	SI
1	2	41	IN	1158	¿Qué tipo de organización?	3763	Defensoras de Derechos 	SI	SI
1	2	41	IN	1158	¿Qué tipo de organización?	3764	Otra, Cuál?	SI	SI
1	2	42	IN	16	¿Hace cuántos años vive en el municipio? <i><font color="#006600">(Si lleva menos de 1 año registro 00)</font></i>	26		SI	SI
1	2	43	IN	870	¿En los últimos seis meses, usted ha declarado nuevos hechos victimizantes para ser incluidos en el RUV?	2637	Sí	SI	SI
1	2	43	IN	870	¿En los últimos seis meses, usted ha declarado nuevos hechos victimizantes para ser incluidos en el RUV?	2638	No	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4505	ACTO TERRORISTA / ATENTADOS / COMBATES /ENFRENTAMIENTOS / HOSTIGAMIENTOS	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4506	AMENAZA	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4507	DELITOS CONTRA LA LIBERTAD Y LA INTEGRIDAD SEXUAL EN DESARROLLO DEL CONFLICTO ARMADO	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4508	DESAPARICIÓN FORZADA	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4509	DESPLAZAMIENTO FORZADO	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4510	HOMICIDIO	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4511	MINAS ANTIPERSONAL, MUNICIÓN SIN EXPLOTAR Y ARTEFACTO EXPLOSIVO IMPROVISADO	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4512	SECUESTRO	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4513	TORTURA	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4514	VINCULACIÓN DE NIÑOS NIÑAS Y ADOLESCENTES A ACTIVIDADES RELACIONADAS CON GRUPOS ARMADOS 	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4515	ABANDONO O DESPOJO FORZADO DE TIERRAS	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4516	PERDIDA DE BIENES MUEBLES O INMUEBLES	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4517	LESIONES PERSONALES FÍSICAS 	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4518	LESIONES PERSONALES PSICOLÓGICAS 	SI	SI
1	2	44	IN	1436	CUÁLES HECHOS VICTIMIZANTES HA USTED DECLARADO PARA SER INCLUIDOS EN EL RUV	4519	CONFINAMIENTO	SI	SI
